key,value,title,screenshot,wip
volunteer_portal.admin.tab.events_cloneevent,Clone,Button label to take you to clone event page,https://drive.google.com/open?id=1asG_2C-G3PIyik5BYlEQjg7rgUjtPkqj,TRUE
volunteer_portal.admin.tab.events_deleteevent,Delete,Button label to delete an event,https://drive.google.com/open?id=1ed0yL5peTPc4dBJmT6fZG-NHewpmLcAD,TRUE
volunteer_portal.admin.tab.events_columntitle,Title,Column title for the field Title,,TRUE
volunteer_portal.admin.tab.events_columnorganization,Organization,Column title for the field Organization,,TRUE
volunteer_portal.admin.tab.events_columnstart,Start,Column title for the field Start as in date and time,,TRUE
volunteer_portal.admin.tab.events_columnduration,Duration,Column title for the field Duration in minutes of the event,,TRUE
volunteer_portal.admin.tab.events_columnparticipants,Participants,Column title for the field Participant for a number of people,,TRUE
volunteer_portal.admin.tab.events_columnactions,Actions,Column title for the field Action,,TRUE
volunteer_portal.admin.tab.eventtypes_edit,Edit,Text button to edit an event type,,TRUE
volunteer_portal.admin.tab.eventtypes_delete,Delete,Text button to delete an event type,,TRUE
volunteer_portal.admin.tab.eventtypes_title,Title,Column title for the field Title,,TRUE
volunteer_portal.admin.tab.eventtypes_actions,Actions,Column title for the field Actions,,TRUE
volunteer_portal.admin.tab.eventtypes_cancel,Cancel,Text button to cancel the deletion of an event type,,TRUE
volunteer_portal.admin.tab.eventtypes_addeventtype,Add Event Type,Text button to open a window to Add and new event type,,TRUE
volunteer_portal.admin.tab.eventtypes_deleteeventtype,Delete Event Type,Title for the confirmation window of Delete Event Type,,TRUE
volunteer_portal.admin.tab.eventtypes_deleteeventtypeconfirmation,Are you sure you want to delete,Message for the confirmation window of Delete Event Type,,TRUE
volunteer_portal.admin.tab.offices_edit,Edit,Message for the confirmation window of Delete Event Type,,TRUE
volunteer_portal.admin.tab.offices_delete,Delete,,,TRUE
volunteer_portal.admin.tab.offices_name,Name,,,TRUE
volunteer_portal.admin.tab.offices_timezone,Timezone,,,TRUE
volunteer_portal.admin.tab.offices_actions,Actions,,,TRUE
volunteer_portal.admin.tab.offices_delete_cancel,Cancel,,,TRUE
volunteer_portal.admin.tab.offices_delete_delete,Delete,,,TRUE
volunteer_portal.admin.tab.offices_add_office,Add Office,,,TRUE
volunteer_portal.admin.tab.offices_delete_delete_office,Delete Office,,,TRUE
volunteer_portal.admin.tab.offices_delete_confirmation,Are you sure you want to delete {{office}}?,,,TRUE
volunteer_portal.admin.tab.organizations_edit,Edit,,,TRUE
volunteer_portal.admin.tab.organizations_delete,Delete,,,TRUE
volunteer_portal.admin.tab.organizations_name,Name,,,TRUE
volunteer_portal.admin.tab.organizations_location,Location,,,TRUE
volunteer_portal.admin.tab.organizations_actions,Actions,,,TRUE
volunteer_portal.admin.tab.organizations_delete_cancel,Cancel,,,TRUE
volunteer_portal.admin.tab.organizations_delete_delete,Delete,,,TRUE
volunteer_portal.admin.tab.organizations_add_organization,Add Organization,,,TRUE
volunteer_portal.admin.tab.organizations_delete_organization,Delete Organization,,,TRUE
volunteer_portal.admin.tab.organization.delete_confirmation,Are you sure you want to delete {{organization}}?,,,TRUE
volunteer_portal.admin.tab.users_edit,Edit,,,TRUE
volunteer_portal.admin.tab.users_delete,Delete,,,TRUE
volunteer_portal.admin.tab.users_name,Name,,,TRUE
volunteer_portal.admin.tab.users_email,Email,,,TRUE
volunteer_portal.admin.tab.users_group,Group,,,TRUE
volunteer_portal.admin.tab.users_actions,Actions,,,TRUE
volunteer_portal.admin.tab.users_delete_cancel,Cancel,,,TRUE
volunteer_portal.admin.tab.users_delete_delete,Delete,,,TRUE
volunteer_portal.admin.tab.users_delete_user,Delete User,,,TRUE
volunteer_portal.admin.tab.user.delete.confirmation,Are you sure you want to delete {{user}}?,,,TRUE
<<<<<<< HEAD
volunteer_portal.filters.office.fetch_error,Unable to load offices list,Text notifying that an error occured while fethcing the list of offices,,TRUE
volunteer_portal.header.user_profile.default_office,Default Office,,,TRUE
volunteer_portal.header.user_profile.language,Language,,,TRUE
volunteer_portal.header.user_profile.admin,Admin,,,TRUE
volunteer_portal.header.user_profile.volunteer,Volunteer,,,TRUE
volunteer_portal.header.user_profile.sign_out,Sign Out,,,TRUE
=======
<<<<<<< HEAD
=======
